epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1490.92,2.51258,4.2725,1.91746,0.30075,0.1328,0.17495,0.0682,2.25907,3.26439,1.88757,0.000471617,0.000471617,0.000471617
2,3326.95,2.36747,3.24988,1.8454,0.17558,0.23717,0.19512,0.08346,2.27372,2.93959,1.84361,0.000854103,0.000854103,0.000854103
3,4863.72,2.36149,2.93323,1.83795,0.25779,0.35072,0.24414,0.09115,2.3201,2.71555,1.9248,0.00114228,0.00114228,0.00114228
4,5945.22,2.32732,2.65105,1.82855,0.31505,0.34512,0.26386,0.10117,2.29666,2.4313,1.85419,0.00100459,0.00100459,0.00100459
5,6764.34,2.23839,2.45794,1.75228,0.30619,0.35134,0.26998,0.11305,2.19052,2.33439,1.88804,0.000863116,0.000863116,0.000863116
6,7554.3,2.18553,2.34584,1.73199,0.3476,0.34086,0.31335,0.13653,2.14552,2.29507,1.72316,0.000721645,0.000721645,0.000721645
7,8338.81,2.138,2.21244,1.69142,0.36583,0.41283,0.34157,0.1509,2.07693,2.12808,1.69422,0.000580174,0.000580174,0.000580174
8,9105.62,2.1031,2.12152,1.64762,0.39874,0.40638,0.34206,0.14874,2.05106,2.19901,1.66923,0.000438703,0.000438703,0.000438703
9,9854.81,2.04734,2.05616,1.62518,0.34471,0.44416,0.33053,0.14034,2.018,2.14034,1.66918,0.000297232,0.000297232,0.000297232
10,10581.6,2.0125,1.96526,1.59974,0.40545,0.43747,0.37341,0.16738,2.02553,2.00627,1.66396,0.000155761,0.000155761,0.000155761
